City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
211,Abu Dhabi,AE,24.4667,54.3667,73.4,78,0,3.44,clear sky
212,Islamkot,PK,24.6997,70.177,66.63,60,0,8.21,clear sky
213,Rawson,AR,-43.3002,-65.1023,67.12,33,99,36.37,overcast clouds
214,Piacabucu,BR,-10.4056,-36.4344,79.3,80,46,13.56,scattered clouds
215,Bethel,US,41.3712,-73.414,51.8,43,1,6.91,clear sky
216,Abong Mbang,CM,3.9833,13.1833,67.21,93,100,2.35,overcast clouds
217,Marawi,PH,7.9986,124.2928,73.99,96,100,3.0,moderate rain
218,Huicheng,CN,23.0385,116.2899,62.6,77,75,13.11,light rain
219,Norman Wells,CA,65.282,-126.8329,1.4,71,75,8.05,light snow
220,Kismayo,SO,-0.3582,42.5454,77.36,87,61,13.58,broken clouds
221,Emerald,AU,-23.5333,148.1667,73.99,100,40,4.61,scattered clouds
222,Ishigaki,JP,24.3448,124.1572,69.8,78,40,11.5,scattered clouds
223,Bubaque,GW,11.2833,-15.8333,78.28,68,4,12.01,clear sky
224,Houma,US,29.5958,-90.7195,75.2,57,75,13.8,broken clouds
225,Sunland Park,US,31.7965,-106.58,77.0,5,1,25.32,clear sky
226,Kahului,US,20.8947,-156.47,78.8,73,40,14.97,light rain
227,Sandane,NO,61.7728,6.215,41.0,64,75,16.11,light snow
228,At-Bashi,KG,41.1702,75.8106,20.77,84,42,3.87,scattered clouds
229,Roald,NO,62.5833,6.1333,41.0,52,90,20.71,overcast clouds
230,Rognan,NO,67.0953,15.3878,24.8,63,0,12.66,clear sky
231,Dali,CN,25.7,100.1833,44.35,75,0,3.94,clear sky
232,Ilulissat,GL,69.2167,-51.1,17.6,67,90,2.3,overcast clouds
233,Darnah,LY,32.767,22.6367,58.12,82,76,13.2,broken clouds
234,Lebu,CL,-37.6167,-73.65,60.89,80,87,7.78,overcast clouds
235,Paamiut,GL,61.994,-49.6678,22.08,96,94,4.68,overcast clouds
236,Senanga,ZM,-16.1167,23.2667,67.59,61,0,2.37,clear sky
237,Clyde River,CA,70.4692,-68.5914,-9.4,70,20,6.91,few clouds
238,Garwolin,PL,51.8975,21.6147,28.0,97,0,5.32,clear sky
239,Hilo,US,19.7297,-155.09,77.0,83,75,5.75,light rain
240,Vitim,RU,59.4511,112.5578,11.25,94,100,3.6,overcast clouds
241,Ous,RU,60.9058,61.5186,-20.13,87,0,5.28,clear sky
242,Salvador,SV,13.8333,-88.9167,87.8,55,20,5.75,few clouds
243,Bairiki,KI,1.3292,172.9752,82.4,74,75,9.22,broken clouds
244,Dwarka,IN,22.2394,68.9678,73.13,83,0,6.49,clear sky
245,Acapulco,MX,16.8634,-99.8901,84.2,74,20,12.66,few clouds
246,Port Macquarie,AU,-31.4333,152.9167,69.8,94,90,1.14,overcast clouds
247,Trincomalee,LK,8.5711,81.2335,80.8,78,98,12.37,overcast clouds
248,Baruun-Urt,MN,46.6806,113.2792,21.47,90,100,6.8,overcast clouds
249,Klaksvik,FO,62.2266,-6.589,39.2,93,75,9.22,broken clouds
250,Heihe,CN,50.2441,127.4902,17.6,62,0,4.47,clear sky
251,Geraldton,AU,-28.7667,114.6,71.6,88,40,9.22,scattered clouds
252,Imbituba,BR,-28.24,-48.6703,75.2,69,40,10.36,scattered clouds
253,Felipe Carrillo Puerto,MX,19.5833,-88.05,78.98,62,65,7.47,broken clouds
254,Laguna,US,38.421,-121.4238,55.0,54,75,11.5,broken clouds
255,Matagami,CA,49.7502,-77.6328,41.0,93,90,4.61,moderate rain
256,Gamba,GA,-2.65,10.0,78.82,86,100,5.73,overcast clouds
257,Lazaro Cardenas,MX,17.9583,-102.2,80.15,60,0,9.62,clear sky
258,Qixingtai,CN,30.4135,111.8874,48.0,96,92,2.62,overcast clouds
259,Kamaishi,JP,39.2667,141.8833,35.6,69,40,3.44,scattered clouds
260,Irece,BR,-11.3042,-41.8558,79.83,52,94,1.7,overcast clouds
261,Nandgaon,IN,20.3167,74.65,74.55,25,0,4.45,clear sky
262,Mount Darwin,ZW,-16.7725,31.5838,65.66,94,1,1.52,clear sky
263,Kununurra,AU,-15.7667,128.7333,78.8,100,75,1.14,broken clouds
264,Kungurtug,RU,50.5994,97.5228,10.42,86,0,2.33,clear sky
265,Arraial Do Cabo,BR,-22.9661,-42.0278,77.0,88,40,10.36,scattered clouds
266,Chagoda,RU,59.164,35.3285,-4.81,92,1,1.95,clear sky
267,Kavieng,PG,-2.5744,150.7967,84.0,64,98,6.02,overcast clouds
268,Pandan Niog,PH,6.2282,120.5631,82.56,77,100,19.42,overcast clouds
269,Guerrero Negro,MX,27.9769,-114.0611,61.95,53,79,20.45,broken clouds
270,Katobu,ID,-4.9408,122.5276,76.77,90,96,1.03,overcast clouds
271,Berlevag,NO,70.8578,29.0864,14.0,67,0,33.38,clear sky
272,Zwedru,LR,6.0667,-8.1281,74.26,96,66,3.44,broken clouds
273,Kristiinankaupunki,FI,62.2743,21.376,11.8,93,68,12.88,broken clouds
274,Qasigiannguit,GL,68.8193,-51.1922,17.6,67,90,2.3,overcast clouds
275,Ponta Do Sol,PT,32.6667,-17.1,57.0,68,15,3.0,few clouds
276,Gimli,CA,50.6336,-96.9907,28.4,74,53,6.91,broken clouds
277,Liuli,TZ,-11.0833,34.6333,77.4,70,100,2.89,moderate rain
278,Oranjemund,NA,-28.55,16.4333,66.42,86,1,1.81,clear sky
279,Biak,ID,-0.9131,122.8766,77.79,75,88,2.51,overcast clouds
280,Tomari,RU,47.7658,142.0683,31.59,90,23,13.35,few clouds
281,Pupiales,CO,0.8714,-77.6403,51.13,92,100,3.31,moderate rain
282,Visnes,NO,59.3556,5.2242,37.99,93,90,34.52,moderate rain
283,Freeport,US,40.6576,-73.5832,46.4,66,1,9.22,clear sky
284,Jalu,LY,29.0331,21.5482,61.99,58,98,6.31,overcast clouds
285,Portland,US,45.5234,-122.6762,57.0,54,20,5.06,few clouds
286,Windsor,CA,42.3001,-83.0165,66.2,51,40,21.85,scattered clouds
287,Krasnoselkup,RU,65.7,82.4667,-35.0,83,0,1.68,clear sky
288,Morondava,MG,-20.2833,44.2833,74.14,76,0,7.61,clear sky
289,Chokurdakh,RU,70.6333,147.9167,-2.88,91,99,11.12,overcast clouds
290,Malanville,BJ,11.8685,3.3899,89.31,21,62,5.3,broken clouds
291,Bengkulu,ID,-3.8004,102.2655,74.59,89,26,4.88,scattered clouds
292,Andenes,NO,69.3143,16.1194,25.0,63,0,12.66,clear sky
293,Bismarck,US,46.8083,-100.7837,39.2,56,75,11.5,broken clouds
294,Banda Aceh,ID,5.5577,95.3222,77.77,66,41,11.95,scattered clouds
295,Alice Springs,AU,-23.7,133.8833,87.01,78,40,4.61,scattered clouds
296,Bundaberg,AU,-24.85,152.35,84.0,69,40,6.91,scattered clouds
297,Makakilo City,US,21.3469,-158.0858,80.6,74,20,8.05,light rain
298,Santa Cruz Do Rio Pardo,BR,-22.8989,-49.6325,69.17,85,0,1.12,clear sky
299,Belaya Gora,RU,68.5333,146.4167,-2.16,87,83,10.33,broken clouds
300,Beringovskiy,RU,63.05,179.3167,-4.38,82,61,2.37,broken clouds
301,Bongandanga,CD,1.5,21.05,75.45,66,63,2.06,broken clouds
302,Guaraniacu,BR,-25.1008,-52.8781,63.45,77,18,2.01,few clouds
303,Tasiilaq,GL,65.6145,-37.6368,14.0,85,0,6.91,clear sky
304,Wagar,SD,16.1525,36.2032,73.51,66,0,7.99,clear sky
305,San Borja,BO,-14.8167,-66.85,79.9,74,9,3.56,clear sky
306,Verkhnyaya Balkariya,RU,43.1279,43.4573,26.6,100,75,8.95,light snow
307,Rabat,MA,33.9911,-6.8401,55.0,100,0,9.24,clear sky
308,Imeni Poliny Osipenko,RU,52.4201,136.4853,14.86,93,33,3.69,scattered clouds
309,Batticaloa,LK,7.7102,81.6924,77.79,80,45,5.06,scattered clouds
310,Nataga,CO,2.5436,-75.8085,65.68,88,88,0.78,overcast clouds
311,Vostok,RU,46.4856,135.8833,18.39,94,83,3.36,broken clouds
312,Marataizes,BR,-21.0433,-40.8244,77.68,86,96,1.1,overcast clouds
313,Bulgan,MN,48.8125,103.5347,25.07,89,2,0.69,clear sky
314,Omboue,GA,-1.5746,9.2618,78.78,89,89,5.03,overcast clouds
315,Goldsboro,US,35.3849,-77.9928,69.8,24,1,4.61,clear sky
316,Angoche,MZ,-16.2325,39.9086,78.06,87,100,7.54,light rain
317,Atar,MR,20.5169,-13.0499,64.08,28,0,8.99,clear sky
318,Grafton,US,42.207,-71.6856,53.6,32,1,11.5,clear sky
319,Caravelas,BR,-17.7125,-39.2481,78.04,78,42,9.37,moderate rain
320,Skibbereen,IE,51.55,-9.2667,46.4,87,75,37.98,broken clouds
321,Parsabad,IR,39.6482,47.9174,41.0,81,0,16.11,clear sky
322,Cherskiy,RU,68.75,161.3,-9.33,80,0,17.52,clear sky
323,Benghazi,LY,32.1167,20.0667,60.85,74,89,7.14,overcast clouds
324,Teguldet,RU,57.3064,88.1667,33.48,96,100,13.6,snow
325,Poum,NC,-20.2333,164.0167,79.54,71,28,14.54,scattered clouds
326,Kamiiso,JP,41.8167,140.65,28.4,86,20,5.75,few clouds
327,Ambilobe,MG,-13.2,49.05,72.88,93,4,1.66,clear sky
328,Bonavista,CA,48.6499,-53.1147,30.99,69,72,8.05,broken clouds
329,Bilibino,RU,68.0546,166.4372,-16.56,79,0,2.93,clear sky
330,Torbay,CA,47.6666,-52.7314,30.99,74,20,11.5,few clouds
331,Chingirlau,KZ,51.095,54.0814,3.61,94,98,11.32,overcast clouds
332,Khorramshahr,IR,30.4397,48.1664,64.4,55,0,2.3,clear sky
333,Dublin,US,37.7021,-121.9358,54.0,81,90,8.05,overcast clouds
334,Port-Gentil,GA,-0.7193,8.7815,80.6,89,20,6.91,light rain
335,Eaglesfield,GB,54.6406,-3.4044,45.0,96,95,15.01,overcast clouds
336,Ucluelet,CA,48.9329,-125.5528,50.0,76,20,8.05,few clouds
337,Batsfjord,NO,70.6345,29.7185,14.0,67,0,33.38,clear sky
338,Sabha,LY,27.0377,14.4283,68.4,32,85,18.88,overcast clouds
339,Ixtapa,MX,20.7,-105.2,78.8,65,40,11.5,scattered clouds
340,Clones,IE,54.1833,-7.2333,48.0,82,95,11.01,moderate rain
341,Lishu,CN,43.3047,124.3278,35.6,90,2,2.37,clear sky
342,Bohodukhiv,UA,50.1647,35.5276,19.4,63,0,4.47,clear sky
343,Orlik,RU,52.5178,99.825,3.61,76,0,2.24,clear sky
344,Ipora,BR,-16.4419,-51.1178,69.94,96,100,2.13,overcast clouds
345,Northam,GB,51.0333,-4.2167,52.0,86,100,21.99,overcast clouds
346,Vung Tau,VN,10.346,107.0843,78.4,78,89,19.37,overcast clouds
347,Mogocha,RU,53.7333,119.7667,3.99,90,14,1.97,few clouds
348,Potiskum,NG,11.7091,11.0694,79.14,16,0,7.67,clear sky
